,URL
0,http://advertisementfeature.cnn.com/2019/seafood-and-sake/pepe-moncayo/?utm_medium=ppc&utm_source=tab&utm_campaign=jfoodo2019__apac
1,http://carsandyachts.com/trending/celebrities-incredible-net-worth-not-imagined/?utm_source=taboola&utm_medium=msn-edgedefaulthomepage-canada&utm_campaign=2881517&utm_term=How+Rich+Is+Serena+Williams%27+Husband+Alexis+Ohanian%3F&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F1714d121635ec4f37d2740e5c796d342.jpg
2,http://directhealthy.com/trending/celebrity-cars-2?utm_source=taboola&utm_medium=msn-edgedefaulthomepage-canada&utm_campaign=2978214&utm_term=See+The+Kind+Of+Car+Steve+Harvey+Drives+At+62&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F9c22dd49c3814c64a7e72ff9deb09481.jpg&id=2019-10-13+01%3A48%3A33
3,http://financialadvisorheroes.com/celebrity-houses/country-musicians-3?utm_source=taboola&utm_medium=msn-edgedefaulthomepage-canada&utm_campaign=2430987&utm_term=At+86%2C+Country+Music+Legend%2C+Willie+Nelson%2C+Lives+With+His+Partner+In+This+House&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F5fbdc371fb32d270d3f66fb7468815f8.jpeg&id=2019-10-13+01%3A38%3A40
5,http://healthygeorge.com/anti-aging/celebrity-couples-murphy?utm_source=taboola&utm_medium=msn-edgedefaulthomepage-canada&utm_campaign=3016848&utm_term=Take+A+Look+At+Who+Tiger+Woods+Is+Dating+Today&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F6384cd469a99497c3e704dbd2e5e6291.jpg&id=2019-10-13+01%3A38%3A40
7,http://refinancegold.com/luxury-life-style/luxury-cars-solar-and-hybrid-vehicles-with-special-auto-insurance?utm_source=taboola&utm_medium=msn-edgedefaulthomepage-canada&utm_campaign=2736711&utm_term=At+63%2C+Mel+Gibson+Drives+This+Car+Today&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2Ff29a31c98677381c0f79ebb053829b02.jpg&id=2019-10-13+01%3A48%3A33
8,http://www.articlesvally.com/food/luke-thill-home?utm_medium=taboola&utm_source=taboola&utm_campaign=ta-av-boy-home-des-ca-10099q&utm_term=msn-edgedefaulthomepage-canada
9,http://www.carnovels.com/worldwide/suvs?utm_medium=taboola&utm_source=taboola&utm_campaign=ta-cn-suvs-des-ca-14099b&utm_term=msn-edgedefaulthomepage-canada
11,http://www.livingly.com/The+Most+Daring+Dresses+In+Emmy+History
12,http://www.lonny.com/Tour+Venus+Serena+Williams'+2.69+Million+Palm+Beach+Gardens+Mansion?utm_source=tabo&utm_medium=cpc&utm_campaign=Tabo-LN-Stories-CA-Desktop-Serena-Venus-Williams-Mansion-2&utm_content=msn-edgedefaulthomepage-canada
